seq,course_folder,test_title,questions,marks,minutes,positive,negative,file,raw_url,test_id,status
1,Cardiac and ECG Rhythms,IBQ - Cardiac and ECG Rhythms - Part 1,15,15,14,1,0.33,cardiac-ecg-rhythms-01.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/cardiac-ecg-rhythms-01.docx,,TODO
2,Cardiac and ECG Rhythms,IBQ - Cardiac and ECG Rhythms - Part 2,14,14,13,1,0.33,cardiac-ecg-rhythms-02.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/cardiac-ecg-rhythms-02.docx,,TODO
3,Surgical Instruments,IBQ - Surgical Instruments - Part 1,15,15,14,1,0.33,surgical-instruments-01.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/surgical-instruments-01.docx,,TODO
4,Surgical Instruments,IBQ - Surgical Instruments - Part 2,15,15,14,1,0.33,surgical-instruments-02.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/surgical-instruments-02.docx,,TODO
5,Airway Management,IBQ - Airway Management - Part 1,12,12,11,1,0.33,airway-management-01.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/airway-management-01.docx,,TODO
6,Airway Management,IBQ - Airway Management - Part 2,12,12,11,1,0.33,airway-management-02.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/airway-management-02.docx,,TODO
7,IV and Vascular Access,IBQ - IV and Vascular Access,18,18,16,1,0.33,iv-vascular-access.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/iv-vascular-access.docx,,TODO
8,Obstetrics and Gynecology,IBQ - Obstetrics and Gynecology - Part 1,18,18,16,1,0.33,obstetrics-gynecology-01.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/obstetrics-gynecology-01.docx,,TODO
9,Obstetrics and Gynecology,IBQ - Obstetrics and Gynecology - Part 2,18,18,16,1,0.33,obstetrics-gynecology-02.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/obstetrics-gynecology-02.docx,,TODO
10,Pediatrics and Neonatal,IBQ - Pediatrics and Neonatal - Part 1,20,20,18,1,0.33,pediatrics-neonatal-01.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/pediatrics-neonatal-01.docx,,TODO
11,Pediatrics and Neonatal,IBQ - Pediatrics and Neonatal - Part 2,20,20,18,1,0.33,pediatrics-neonatal-02.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/pediatrics-neonatal-02.docx,,TODO
12,Emergency Trauma and BLS,IBQ - Emergency Trauma and BLS,7,7,6,1,0.33,emergency-trauma-bls.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/emergency-trauma-bls.docx,,TODO
13,Dialysis Renal and Urology,IBQ - Dialysis Renal and Urology,10,10,9,1,0.33,dialysis-renal-urology.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/dialysis-renal-urology.docx,,TODO
14,Respiratory and Oxygen Therapy,IBQ - Respiratory and Oxygen Therapy,18,18,16,1,0.33,respiratory-oxygen-therapy.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/respiratory-oxygen-therapy.docx,,TODO
15,Waste Management and BMW,IBQ - Waste Management and BMW,9,9,8,1,0.33,waste-management-bmw.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/waste-management-bmw.docx,,TODO
16,Imaging and Diagnostics,IBQ - Imaging and Diagnostics,8,8,7,1,0.33,imaging-diagnostics.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/imaging-diagnostics.docx,,TODO
17,Psychiatry and Neurology,IBQ - Psychiatry and Neurology,15,15,14,1,0.33,psychiatry-neurology.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/psychiatry-neurology.docx,,TODO
18,Pharmacology and Drugs,IBQ - Pharmacology and Drugs,17,17,15,1,0.33,pharmacology-drugs.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/pharmacology-drugs.docx,,TODO
19,Wound Care and Drains,IBQ - Wound Care and Drains,7,7,6,1,0.33,wound-care-drains.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/wound-care-drains.docx,,TODO
20,Gastroenterology and Nutrition,IBQ - Gastroenterology and Nutrition,17,17,15,1,0.33,gastroenterology-nutrition.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/gastroenterology-nutrition.docx,,TODO
21,Orthopedics and Positioning,IBQ - Orthopedics and Positioning,13,13,12,1,0.33,orthopedics-positioning.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/orthopedics-positioning.docx,,TODO
22,"Ophthalmology, ENT and Skin","IBQ - Ophthalmology, ENT and Skin",7,7,6,1,0.33,ophthalmology-ent-skin.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/ophthalmology-ent-skin.docx,,TODO
23,Community Health Nursing,IBQ - Community Health Nursing,5,5,5,1,0.33,community-health-nursing.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/community-health-nursing.docx,,TODO
24,General Medical Surgical,IBQ - General Medical Surgical - Part 1,16,16,14,1,0.33,general-medical-surgical-01.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/general-medical-surgical-01.docx,,TODO
25,General Medical Surgical,IBQ - General Medical Surgical - Part 2,16,16,14,1,0.33,general-medical-surgical-02.docx,https://raw.githubusercontent.com/<GITHUB-USERNAME>/pnc-norcet-ibq/main/ibq/general-medical-surgical-02.docx,,TODO
